Month,Airline,Port_Country,Passengers_In,Freight_In_(tonnes),Mail_In_(tonnes),Passengers_Out,Freight_Out_(tonnes),Mail_Out_(tonnes),Year,Month_num
Jan-85,Air Caledonie,New Caledonia,725,0.368,0,474,0.167,0,1985,1
Jan-85,Air China,China,1311,9.158,0,1232,2.587,0,1985,1
Jan-85,Air India,India,1423,44.823,0,970,6.708,0,1985,1
Jan-85,Air India,Singapore,501,10.583,0,306,124.966,0,1985,1
Jan-85,Air Nauru,Nauru,161,0.212,0,96,23.996,0,1985,1
Jan-85,Air New Zealand,New Zealand,24588,873.066,0.374,20692,348.74,0.122,1985,1
Jan-85,Air Niugini,Papua New Guinea,2954,20.035,0,2906,69.047,0,1985,1
Jan-85,Air Pacific,Fiji,3350,26.257,0,2470,100.639,0,1985,1
Jan-85,Air Pacific,Solomon Islands,574,3.227,0,578,12.322,0,1985,1
Jan-85,Air Pacific,Vanuatu,280,0.356,0,205,2.735,0,1985,1
Jan-85,Air Vanuatu,Vanuatu,738,0.224,0,586,0,0,1985,1
Jan-85,Alitalia,India,196,6.719,0,328,4.897,0,1985,1
Jan-85,Alitalia,Italy,2141,101.234,0,1818,36.951,0,1985,1
Jan-85,Alitalia,Singapore,555,14.999,0,491,107.258,0,1985,1
Jan-85,Alitalia,Thailand,206,2.803,0,81,5.077,0,1985,1
Jan-85,British Airways,Brunei,129,0.2,0,114,56.1,0,1985,1
Jan-85,British Airways,India,333,2.9,0,269,6.8,0,1985,1
Jan-85,British Airways,Malaysia,279,0.8,0,292,27.5,0,1985,1
Jan-85,British Airways,New Zealand,2166,69.4,0,1872,22.7,0,1985,1
Jan-85,British Airways,Oman,399,0.3,0,331,84.1,0,1985,1
Jan-85,British Airways,Singapore,3511,51.2,0,3093,288.6,0,1985,1
Jan-85,British Airways,UK,7032,229.4,0,6190,66,0,1985,1
Jan-85,British Airways,United Arab Emirates,347,0.1,0,140,48.9,0,1985,1
Jan-85,Canadian Airlines Intl,Canada,1296,15.097,0,890,25.236,0,1985,1
Jan-85,Canadian Airlines Intl,Fiji,484,0.507,0,401,41.159,0,1985,1
Jan-85,Canadian Airlines Intl,USA,1297,48.76,0,745,5.565,0,1985,1
Jan-85,Cathay Pacific Airways,Hong Kong,11413,221.765,0,8200,594.517,0,1985,1
Jan-85,Continental Airlines,Fiji,647,6.236,0,344,19.001,0,1985,1
Jan-85,Continental Airlines,New Zealand,2459,56.183,0,2838,160.632,0,1985,1
Jan-85,Continental Airlines,USA,4618,261.745,0,3249,137.835,0,1985,1
Jan-85,Flying Tiger Line,USA,0,610.613,0,0,0,0,1985,1
Jan-85,Garuda Indonesia,Indonesia,8738,226.774,0,8452,280.562,0,1985,1
Jan-85,Japan Airlines,Japan,3651,116.544,0,3446,100.812,0,1985,1
Jan-85,KLM Royal Dutch Airlines,Netherlands,1135,28.61,0,616,2.627,0,1985,1
Jan-85,KLM Royal Dutch Airlines,Sri Lanka,376,1.622,0,293,7.748,0,1985,1
Jan-85,KLM Royal Dutch Airlines,United Arab Emirates,30,0.117,0,129,63.688,0,1985,1
Jan-85,Lufthansa German Airlines,Germany,1490,505.414,0,1112,224.614,0,1985,1
Jan-85,Lufthansa German Airlines,Malaysia,143,2.136,0,171,177.166,0,1985,1
Jan-85,Lufthansa German Airlines,United Arab Emirates,32,0.02,0,9,112.281,0,1985,1
Jan-85,Malaysia Airlines,Malaysia,7205,251.166,1.677,6492,357.492,0.951,1985,1
Jan-85,Olympic Airways,Greece,2514,54.276,0,1312,0.544,0,1985,1
Jan-85,Olympic Airways,Singapore,190,0,0,114,0,0,1985,1
Jan-85,Pan American,New Zealand,1945,66.503,0,1769,74.785,0,1985,1
Jan-85,Pan American,USA,5364,68.486,0,3751,96.666,0,1985,1
Jan-85,Philippine Airlines,Philippines,4762,185.063,0,3817,87.223,0,1985,1
Jan-85,Polynesian Airlines,Western Samoa,411,0.687,0,327,2.101,0,1985,1
Jan-85,Qantas Airways,Bahrain,278,1.134,0.42,236,36.24,2.356,1985,1
Jan-85,Qantas Airways,Canada,541,1.391,0,451,4.023,2.699,1985,1
Jan-85,Qantas Airways,China,1118,8.986,0.177,993,1.782,0.007,1985,1
Jan-85,Qantas Airways,Cyprus,57,0,0,0,0,0,1985,1
Jan-85,Qantas Airways,Fiji,6767,27.827,0.053,4637,56.297,1.385,1985,1
Jan-85,Qantas Airways,Germany,1641,159.348,7.256,1977,14.348,12.844,1985,1
Jan-85,Qantas Airways,Greece,1370,4.187,4.261,587,3.611,3.364,1985,1
Jan-85,Qantas Airways,Hong Kong,9471,202.045,1.474,5625,235.498,5.796,1985,1
Jan-85,Qantas Airways,India,314,4.022,0.789,301,1.844,1.777,1985,1
Jan-85,Qantas Airways,Indonesia,4506,51.921,0.953,4607,20.481,0.853,1985,1
Jan-85,Qantas Airways,Italy,1694,16.062,3.997,1270,1.441,3.264,1985,1
