Month,Airline ID,Port_Country,Passengers_In,Passengers_Out,Freight_In_(tonnes),Freight_Out_(tonnes),Mail_In_(tonnes),Mail_Out_(tonnes)
Jan-85,751,China,1311.0,1232.0,9.158,2.587,0.0,0.0
Jan-85,345,New Zealand,24588.0,20692.0,873.066,348.74,0.374,0.122
Jan-85,328,Papua New Guinea,2954.0,2906.0,20.035,69.047,0.0,0.0
Jan-85,879,Fiji,3350.0,2470.0,26.257,100.639,0.0,0.0
Jan-85,879,Solomon Islands,574.0,578.0,3.227,12.322,0.0,0.0
Jan-85,879,Vanuatu,280.0,205.0,0.356,2.735,0.0,0.0
Jan-85,524,Vanuatu,738.0,586.0,0.224,0.0,0.0,0.0
Jan-85,596,India,196.0,328.0,6.719,4.897,0.0,0.0
Jan-85,596,Italy,2141.0,1818.0,101.234,36.951,0.0,0.0
Jan-85,596,Singapore,555.0,491.0,14.999,107.258,0.0,0.0
Jan-85,596,Thailand,206.0,81.0,2.803,5.077,0.0,0.0
Jan-85,1355,Brunei,129.0,114.0,0.2,56.1,0.0,0.0
Jan-85,1572,Brunei,129.0,114.0,0.2,56.1,0.0,0.0
Jan-85,1355,India,333.0,269.0,2.9,6.8,0.0,0.0
Jan-85,1572,India,333.0,269.0,2.9,6.8,0.0,0.0
Jan-85,1355,Malaysia,279.0,292.0,0.8,27.5,0.0,0.0
Jan-85,1572,Malaysia,279.0,292.0,0.8,27.5,0.0,0.0
Jan-85,1355,New Zealand,2166.0,1872.0,69.4,22.7,0.0,0.0
Jan-85,1572,New Zealand,2166.0,1872.0,69.4,22.7,0.0,0.0
Jan-85,1355,Oman,399.0,331.0,0.3,84.1,0.0,0.0
Jan-85,1572,Oman,399.0,331.0,0.3,84.1,0.0,0.0
Jan-85,1355,Singapore,3511.0,3093.0,51.2,288.6,0.0,0.0
Jan-85,1572,Singapore,3511.0,3093.0,51.2,288.6,0.0,0.0
Jan-85,1355,UK,7032.0,6190.0,229.4,66.0,0.0,0.0
Jan-85,1572,UK,7032.0,6190.0,229.4,66.0,0.0,0.0
Jan-85,1355,United Arab Emirates,347.0,140.0,0.1,48.9,0.0,0.0
Jan-85,1572,United Arab Emirates,347.0,140.0,0.1,48.9,0.0,0.0
Jan-85,1881,Fiji,647.0,344.0,6.236,19.001,0.0,0.0
Jan-85,1881,New Zealand,2459.0,2838.0,56.183,160.632,0.0,0.0
Jan-85,1881,USA,4618.0,3249.0,261.745,137.835,0.0,0.0
Jan-85,2520,Indonesia,8738.0,8452.0,226.774,280.562,0.0,0.0
Jan-85,2987,Japan,3651.0,3446.0,116.544,100.812,0.0,0.0
Jan-85,3090,Netherlands,1135.0,616.0,28.61,2.627,0.0,0.0
Jan-85,3090,Sri Lanka,376.0,293.0,1.622,7.748,0.0,0.0
Jan-85,3090,United Arab Emirates,30.0,129.0,0.117,63.688,0.0,0.0
Jan-85,3378,Malaysia,7205.0,6492.0,251.166,357.492,1.677,0.951
Jan-85,3952,Philippines,4762.0,3817.0,185.063,87.223,0.0,0.0
Jan-85,4013,Western Samoa,411.0,327.0,0.687,2.101,0.0,0.0
Jan-85,4255,Brunei,368.0,230.0,0.187,1.802,0.0,0.0
Jan-85,4435,Singapore,15441.0,13230.0,517.573,871.734,0.0,0.0
Jan-85,4305,Mauritius,223.0,161.0,6.866,1.525,0.0,0.0
Jan-85,4305,South Africa,1173.0,1186.0,21.673,21.029,0.0,0.0
Jan-85,4940,Singapore,0.0,565.0,0.0,31.041,0.0,0.0
Jan-85,4940,Thailand,4939.0,4223.0,140.995,257.548,0.0,0.0
Feb-85,751,China,955.0,1000.0,9.427,0.712,0.0,0.0
Feb-85,345,New Zealand,21232.0,20838.0,1265.402,644.965,0.59,0.119
Feb-85,328,Papua New Guinea,1269.0,2000.0,34.494,63.945,0.0,0.0
Feb-85,879,Fiji,2139.0,1932.0,14.023,110.731,0.0,0.0
Feb-85,879,Solomon Islands,369.0,370.0,1.582,11.865,0.0,0.0
Feb-85,879,Vanuatu,121.0,156.0,0.273,4.842,0.0,0.0
Feb-85,524,Vanuatu,261.0,361.0,0.216,0.0,0.0,0.0
Feb-85,596,India,305.0,143.0,15.35,1.261,0.0,0.0
Feb-85,596,Italy,1948.0,1534.0,107.304,44.618,0.0,0.0
Feb-85,596,Singapore,635.0,468.0,9.339,110.482,0.0,0.0
Feb-85,596,Thailand,69.0,105.0,3.733,5.426,0.0,0.0
Feb-85,1355,Brunei,130.0,44.0,0.0,12.0,0.0,0.0
Feb-85,1572,Brunei,130.0,44.0,0.0,12.0,0.0,0.0
Feb-85,1355,India,370.0,229.0,1.9,1.1,0.0,0.0
Feb-85,1572,India,370.0,229.0,1.9,1.1,0.0,0.0
Feb-85,1355,Malaysia,321.0,282.0,0.6,54.9,0.0,0.0
Feb-85,1572,Malaysia,321.0,282.0,0.6,54.9,0.0,0.0
Feb-85,1355,New Zealand,1847.0,2071.0,49.7,82.4,0.0,0.0
Feb-85,1572,New Zealand,1847.0,2071.0,49.7,82.4,0.0,0.0
Feb-85,1355,Oman,415.0,282.0,1.2,75.4,0.0,0.0
Feb-85,1572,Oman,415.0,282.0,1.2,75.4,0.0,0.0
